solver,config,frame,t,runout,max_h,ke
mpm,mpm-Q1-pic-apic,16,0.283333,0.244260,0.039314,0.598638
mpm,mpm-Q1-pic-apic,17,0.300000,0.249466,0.037263,0.402571
mpm,mpm-Q1-pic-apic,18,0.316667,0.253843,0.035793,0.256077
mpm,mpm-Q1-pic-apic,19,0.333333,0.257281,0.034681,0.146341
mpm,mpm-Q1-pic-apic,20,0.350000,0.259716,0.033864,0.073408
mpm,mpm-Q1-pic-apic,21,0.366667,0.261663,0.033224,0.029910
mpm,mpm-Q1-pic-apic,22,0.383333,0.262951,0.032985,0.008959
mpm,mpm-Q1-pic-apic,23,0.400000,0.263996,0.032964,0.001364
mpm,mpm-Q1-pic-apic,24,0.416667,0.265029,0.032969,0.000384
mpm,mpm-Q1-pic-apic,25,0.433333,0.265615,0.032970,0.000178
mpm,mpm-Q1-pic-apic,26,0.450000,0.266357,0.032971,0.000106
mpm,mpm-Q1-pic-apic,27,0.466667,0.266958,0.032971,0.000075
mpm,mpm-Q1-pic-apic,28,0.483333,0.267561,0.032971,0.000058
mpm,mpm-Q1-pic-apic,29,0.500000,0.268107,0.032971,0.000051
mpm,mpm-Q1-pic-apic,30,0.516667,0.268490,0.032971,0.000047
mpm,mpm-Q1-gimp-pic,0,0.016667,0.101653,0.194901,0.144261
mpm,mpm-Q1-gimp-pic,1,0.033333,0.105127,0.189782,0.547909
mpm,mpm-Q1-gimp-pic,2,0.050000,0.110566,0.182225,1.171731
mpm,mpm-Q1-gimp-pic,3,0.066667,0.116822,0.172357,1.947504
mpm,mpm-Q1-gimp-pic,4,0.083333,0.124232,0.160406,2.788235
mpm,mpm-Q1-gimp-pic,5,0.100000,0.132532,0.146581,3.568725
mpm,mpm-Q1-gimp-pic,6,0.116667,0.141333,0.131521,4.150421
mpm,mpm-Q1-gimp-pic,7,0.133333,0.151444,0.116227,4.405682
mpm,mpm-Q1-gimp-pic,8,0.150000,0.162557,0.101260,4.244235
mpm,mpm-Q1-gimp-pic,9,0.166667,0.173790,0.087791,3.717384
mpm,mpm-Q1-gimp-pic,10,0.183333,0.184497,0.076996,2.995376
mpm,mpm-Q1-gimp-pic,11,0.200000,0.195023,0.068498,2.340547
mpm,mpm-Q1-gimp-pic,12,0.216667,0.205029,0.061472,1.751456
mpm,mpm-Q1-gimp-pic,13,0.233333,0.214555,0.056120,1.309469
mpm,mpm-Q1-gimp-pic,14,0.250000,0.222497,0.052255,0.924982
mpm,mpm-Q1-gimp-pic,15,0.266667,0.229986,0.049462,0.626810
mpm,mpm-Q1-gimp-pic,16,0.283333,0.236362,0.047014,0.401396
mpm,mpm-Q1-gimp-pic,17,0.300000,0.241313,0.044723,0.236879
mpm,mpm-Q1-gimp-pic,18,0.316667,0.245326,0.043014,0.126544
mpm,mpm-Q1-gimp-pic,19,0.333333,0.248324,0.041953,0.057101
mpm,mpm-Q1-gimp-pic,20,0.350000,0.250287,0.041407,0.019702
mpm,mpm-Q1-gimp-pic,21,0.366667,0.251329,0.041260,0.003635
mpm,mpm-Q1-gimp-pic,22,0.383333,0.252053,0.041264,0.000226
mpm,mpm-Q1-gimp-pic,23,0.400000,0.252378,0.041269,0.000047
mpm,mpm-Q1-gimp-pic,24,0.416667,0.252638,0.041271,0.000024
mpm,mpm-Q1-gimp-pic,25,0.433333,0.252882,0.041273,0.000018
mpm,mpm-Q1-gimp-pic,26,0.450000,0.253120,0.041275,0.000017
mpm,mpm-Q1-gimp-pic,27,0.466667,0.253354,0.041276,0.000016
mpm,mpm-Q1-gimp-pic,28,0.483333,0.253588,0.041277,0.000016
mpm,mpm-Q1-gimp-pic,29,0.500000,0.253820,0.041278,0.000015
mpm,mpm-Q1-gimp-pic,30,0.516667,0.254051,0.041279,0.000015
mpm,mpm-Q1-gimp-apic,0,0.016667,0.101653,0.194901,0.144261
mpm,mpm-Q1-gimp-apic,1,0.033333,0.105320,0.189775,0.556155
mpm,mpm-Q1-gimp-apic,2,0.050000,0.111241,0.182196,1.205044
mpm,mpm-Q1-gimp-apic,3,0.066667,0.118230,0.172249,2.027605
mpm,mpm-Q1-gimp-apic,4,0.083333,0.126551,0.160242,2.934035
mpm,mpm-Q1-gimp-apic,5,0.100000,0.135338,0.146398,3.784792
mpm,mpm-Q1-gimp-apic,6,0.116667,0.144559,0.131209,4.449585
mpm,mpm-Q1-gimp-apic,7,0.133333,0.155093,0.115713,4.760551
mpm,mpm-Q1-gimp-apic,8,0.150000,0.166663,0.100460,4.635808
mpm,mpm-Q1-gimp-apic,9,0.166667,0.177433,0.086648,4.117693
mpm,mpm-Q1-gimp-apic,10,0.183333,0.188562,0.075308,3.416536
mpm,mpm-Q1-gimp-apic,11,0.200000,0.199101,0.066550,2.706070
mpm,mpm-Q1-gimp-apic,12,0.216667,0.209845,0.059330,2.158664
mpm,mpm-Q1-gimp-apic,13,0.233333,0.218789,0.053695,1.643375
mpm,mpm-Q1-gimp-apic,14,0.250000,0.227051,0.049163,1.219085
mpm,mpm-Q1-gimp-apic,15,0.266667,0.234536,0.045391,0.882458
mpm,mpm-Q1-gimp-apic,16,0.283333,0.240731,0.041942,0.620666
mpm,mpm-Q1-gimp-apic,17,0.300000,0.246018,0.039022,0.422285
mpm,mpm-Q1-gimp-apic,18,0.316667,0.250705,0.036416,0.273596
mpm,mpm-Q1-gimp-apic,19,0.333333,0.253785,0.034408,0.161403
mpm,mpm-Q1-gimp-apic,20,0.350000,0.256458,0.032931,0.085212
mpm,mpm-Q1-gimp-apic,21,0.366667,0.258126,0.031804,0.037666
mpm,mpm-Q1-gimp-apic,22,0.383333,0.259336,0.031129,0.013216
mpm,mpm-Q1-gimp-apic,23,0.400000,0.260246,0.030848,0.002332
mpm,mpm-Q1-gimp-apic,24,0.416667,0.260949,0.030850,0.000372
mpm,mpm-Q1-gimp-apic,25,0.433333,0.261501,0.030855,0.000174
mpm,mpm-Q1-gimp-apic,26,0.450000,0.261978,0.030856,0.000104
mpm,mpm-Q1-gimp-apic,27,0.466667,0.262407,0.030856,0.000074
mpm,mpm-Q1-gimp-apic,28,0.483333,0.262797,0.030857,0.000059
mpm,mpm-Q1-gimp-apic,29,0.500000,0.263175,0.030857,0.000052
mpm,mpm-Q1-gimp-apic,30,0.516667,0.263543,0.030858,0.000048
mpm,mpm-B2-pic-pic,0,0.016667,0.099814,0.194776,0.205885
mpm,mpm-B2-pic-pic,1,0.033333,0.100014,0.189340,0.785251
mpm,mpm-B2-pic-pic,2,0.050000,0.100653,0.181244,1.643680
mpm,mpm-B2-pic-pic,3,0.066667,0.101828,0.170576,2.609992
mpm,mpm-B2-pic-pic,4,0.083333,0.103945,0.157557,3.501727
mpm,mpm-B2-pic-pic,5,0.100000,0.107082,0.142544,4.199170
mpm,mpm-B2-pic-pic,6,0.116667,0.111159,0.126096,4.600662
mpm,mpm-B2-pic-pic,7,0.133333,0.116076,0.109033,4.580828
mpm,mpm-B2-pic-pic,8,0.150000,0.121410,0.092513,4.078179
mpm,mpm-B2-pic-pic,9,0.166667,0.126712,0.077682,3.214591
mpm,mpm-B2-pic-pic,10,0.183333,0.131134,0.065103,2.181240
mpm,mpm-B2-pic-pic,11,0.200000,0.133836,0.054926,1.332079
mpm,mpm-B2-pic-pic,12,0.216667,0.134234,0.046369,0.695239
mpm,mpm-B2-pic-pic,13,0.233333,0.134472,0.039752,0.347292
mpm,mpm-B2-pic-pic,14,0.250000,0.134472,0.034299,0.189040
mpm,mpm-B2-pic-pic,15,0.266667,0.134472,0.029865,0.096089
mpm,mpm-B2-pic-pic,16,0.283333,0.134472,0.026016,0.064496
mpm,mpm-B2-pic-pic,17,0.300000,0.134472,0.022559,0.035834
mpm,mpm-B2-pic-pic,18,0.316667,0.134472,0.019285,0.029895
